id,title,description,category,price,ranking,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,similarity_score
B000P9DRZQ,Jergens Ultra Healing 21 oz. Pump,Heals And Softens Skin,Body | Skin Care | Moisturizers | Lotions,7.89,57294.0,AKK49Y5DWSEND,B001ET7J50|B004D3485I|B0009GWXA0|B001FB5LPC|B000C211H2,Could you recommend a body moisturizer lotion that helps soothe irritated skin after sun exposure?,0,"The user shows a preference for products that offer healing and protection benefits, as well as those suitable for dry skin and hair styling.",Could you recommend a body moisturizer lotion that helps soothe irritated skin after sun exposure?,1.0,body moisturizer lotion that helps soothe irritated skin after sun exposure,-7.3089614
B00397XUIK,ELMA&amp;SANA Golden Argan Oil &reg; 100 Cold Pressed Virgin Organic Certified By Ecocert -1oz(30ml),Elma and Sana golden argan oil 1 oz blue glass bottle with dropper 100% natural raw cosmetic argan o...,Body | Skin Care | Oils | Moisturizers,8.0,6851.0,A2IB52XBJS0EJD,B0028BKV4E|B00150LT40|B008UPFNTA|B002B4LUFW|B001DNE1VC|B009XQXZ5O|B00154NY5S|B006GACVYQ,"I'm interested in an Argan Oil Moisturizer, 1oz (30ml), for body and skin care that is cold pressed, virgin organic, and certified by Ecocert, as I'm looking for products that enhance skin appearance and health.",-1,"The user shows a unique preference for products with anti-aging properties and those that offer quick results, such as fast-drying nail coats and triple-acid peel pads.","I'm interested in an Argan Oil Moisturizer, 1oz (30ml), for body and skin care that is cold pressed, virgin organic, and certified by Ecocert, as I'm looking for products that enhance skin appearance and health.",1.0,"Argan Oil Moisturizer, 1oz (30ml), for body and skin care that is cold pressed, virgin organic, and certified by Ecocert",-10.136348
B0046DZQDS,TONYMOLY Tomatox Brightening Mask 70g,TonyMoly Tomatox Magic White Massage Pack contains tomato water and tomato ingredients. This multi-f...,Masks | Skin Care | Face | Treatments & Masks,4.87,10513.0,A323IQ2PNLGD9J,B008211G9S|B00563CM5M|B005TTSDYW|B008HRPGTI|B0035RE2TA|B007WW1AOE|B004BGSNQM|B0058KSD56,I am interested in a face mask that is 70g and suitable for skincare treatments.,-1,"The user shows a unique preference for products that focus on pore care and enhancing eye appearance, such as pore primers and false eyelashes.",I am interested in a face mask that is 70g and suitable for skincare treatments.,1.0,face mask that is 70g and suitable for skincare treatments,-3.8830528
B000NIY7QM,"Fantasea Fine Mist Spray Bottle, 2.5 Ounce","Fantasea Fine Mist Spray Bottle,&#xA0;sprays a fine mist and comes in a convenient portable size.",Tools & Accessories | Hair Coloring Tools | Applicator Bottles,3.39,2551.0,A2BO7ZC8YQBZ6S,B006HJPT7W|B006HKR6OK|B00507C6DM|B006HK7ECY|B0013VBMJ8|B0034RNC7E,"I’m looking for a Fine Mist Spray Bottle, 2.5 Ounce, that’s perfect for hair coloring and applicator use, as I’m really into beauty products and nail care.",-1,"The user shows a preference for high-quality nail products, including gel lacquers and manicure tools, as well as an interest in hair extensions and decorative nail art.","I’m looking for a Fine Mist Spray Bottle, 2.5 Ounce, that’s perfect for hair coloring and applicator use, as I’m really into beauty products and nail care.",1.0,"Fine Mist Spray Bottle, 2.5 Ounce, perfect for hair coloring and applicator use",-10.168739
B0012RXAGG,Nina By Nina Ricci For Women. Eau De Toilette Spray 2.7-Ounces,"Launched by the design house of Nina Ricci in 1987, NINA is a women's fragrance that possesses a ble...",Body | Skin Care | Lotions | Moisturizers,36.99,2115.0,A1QH7CFWPWCQW7,B003VX1KF2|B005MZS03C|B009NPOXVK|B000WZR1R8|B001FWXHC0|B0050EB0BE|B000W66146|B001FWXIBU|B002N3UUX4,"Can you recommend a men's Eau De Toilette Spray, 2.7-Ounces, that will work for personal grooming and fragrance needs?",-1,"The user shows a strong preference for high-end, designer fragrances, indicating a taste for luxury and possibly a focus on personal style and presentation.","Can you recommend a men's Eau De Toilette Spray, 2.7-Ounces, that will work for personal grooming and fragrance needs?",1.0,"men's Eau De Toilette Spray, 2.7-Ounces",-9.885171
B0037TM252,"Lipogaine for Men: Intensive Treatment &amp; Complete Solution for Hair Loss / Thinning (For Men Only Formula, 2oz, one month supply)",Clinically proven ingredients are perfectly harnessed in this formula to offer a complete solution f...,Hair Loss Products | Hair Regrowth Treatments | Hair Care,25.0,125.0,A1E5NOMUNGZ1CL,B003AC8C8C|B003K7EK92|B003TQU1Q0|B00443QM7Y|B000052YMS|B003UF0RB4|B009JJA49U,I’m looking for a hair regrowth treatment that supports hair recovery after stress-related loss.,2,"The user has a preference for natural and specialized hair care products, as indicated by the purchase of apple cider vinegar and sea essence shampoos. They also show interest in skincare products targeting specific concerns like hyperpigmentation.","I’m looking for a hair regrowth treatment that supports hair recovery after stress-related loss. Additionally, recommend a nourishing hair mask and a strengthening leave-in treatment to complement this hair regrowth solution.",3.0,hair regrowth treatment|nourishing hair mask|strengthening leave-in treatment,-10.196866
B006AEZ73U,"Jafra, Inkwell Eyeliner- Onyx",eyeliner,Makeup | Eyes | Eyeliner,8.99,163649.0,A1R06LLONIC095,B001283VUU|B002Z7FU8I|B001AN0UTC|B006RWOY9I|B002I7PQDO|B0035D5ZD6,Can you recommend me an eyeliner in Onyx for a female adult with a strong interest in beauty and skincare products?,-1,The user shows a preference for products related to radiance and hydration in skincare and makeup.,Can you recommend me an eyeliner in Onyx for a female adult with a strong interest in beauty and skincare products?,1.0,eyeliner in Onyx,-3.0822773
B003UK84P0,"Redken Extreme Anti Snap Leave In Treatment for Unisex, 8.5 Ounce",EXTREME ANTI-SNAP LEAVE IN TREATMENT FOR DISTRESSED HAIR 8.5 OZ (PACKAGING MAY VARY) Design House: R...,Hair & Scalp Treatments | Hair Care,11.2,58212.0,A1VUC15Y3G8GEK,B0084HWM1G|B001ET76QC|B008RU12DO|B00005321Z|B001CBDVRK,Please suggest a leave-in treatment that helps soothe scalp irritation for someone who prefers well-known brands like Revlon or Redken.,0,"The user shows a strong preference for products containing Progenitin, indicating an interest in specific skincare ingredients that promise enhanced moisture and anti-aging effects.",Please suggest a leave-in treatment that helps soothe scalp irritation for someone who prefers well-known brands like Revlon or Redken.,1.0,leave-in treatment that helps soothe scalp irritation,-9.295788
B00JR4FKGY,"Revlon Rose Gold Professional Curling Iron, 1-1/4 Inch",Introducing the all new Revlon rose gold professional curling iron. Rose gold technology is a combin...,Curling Irons | Irons | Styling Tools | Hair Care,24.96,267081.0,A2KY76HK8DYRL3,B007TAQZ8A|B00BRGUNV2|B00AFBSIPI|B004PANDIC|B001650N3C|B0015GD91U,I'm interested in a curling iron that can help me achieve professional-quality curls for special events.,1,"The user shows a preference for high-quality, professional-grade hair styling tools and products.",I'm interested in a set of products that can help me achieve professional-quality curls for special events.,-1.0,,-3.910433
B002H8TVVM,"Skinceuticals A.g.e. Eye Complex Mature Skin Treatment, 0.5-Ounce",This three-dimensional treatment contains a unique combination of ingredients to dramatically improv...,Eyes | Skin Care,58.0,1390.0,A2SZ43N66VNM7B,B002HWS7RM|B005UGVHXI|B001ECQDVS|B005Z17Q8S|B008FY1VHO|B000W8P7RG|B000AMA43Q|B000MIKGH2|B004ZD2M68|B003VF7MVG,Can you recommend an eye treatment that effectively reduces dark circles for mature skin?,0,"The user shows a unique preference for specialized beauty tools and accessories, such as magnetic stickers for makeup pans and microfiber hair towels.",Can you recommend an eye treatment that effectively reduces dark circles for mature skin?,1.0,eye treatment that effectively reduces dark circles for mature skin,-10.166505
