id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,primary_target_id
0307463974,item_0307463974,,0.0,4.0,A100NGGXRQF0AQ,0307266192|0060566116|0141034599|0140284583|0141034262,"I enjoy reading books like book_0143038583, book_0060541644, book_0143036939, book_0307275337, book_0061458457, book_0307346943. Can you recommend similar books I might enjoy?",1,"The user likes: book_0143038583, book_0060541644, book_0143036939, book_0307275337, book_0061458457","I enjoy reading books like book_0143038583, book_0060541644, book_0143036939, book_0307275337, book_0061458457, book_0307346943. Can you recommend similar books I might enjoy?",1,0307463974|0143124935|0307265749|0307271609|0199737509|0143145010|006230755X|0062206281,0307463974
0061921033,item_0061921033,,0.0,4.0,A100YDQ9DIP06P,0140367020|0142418498|0142410713|0061284424|0142418889,"I enjoy reading books like book_0060875895, book_0061131245, book_0060766212, book_0060578424, book_0061174270, book_0061122807. Can you recommend similar books I might enjoy?",1,"The user likes: book_0060875895, book_0061131245, book_0060766212, book_0060578424, book_0061174270","I enjoy reading books like book_0060875895, book_0061131245, book_0060766212, book_0060578424, book_0061174270, book_0061122807. Can you recommend similar books I might enjoy?",1,0061921033|0062015079|0141304278|0062195182,0061921033
030726999X,item_030726999X,,0.0,4.0,A102Z3T7NSM5KC,006212255X|0062200577|0061668214|0062221523|0060958286,"I enjoy reading books like book_0307268977, book_0307387941, book_0099555352, book_0061702587, book_0061999768, book_0061894443. Can you recommend similar books I might enjoy?",1,"The user likes: book_0307268977, book_0307387941, book_0099555352, book_0061702587, book_0061999768","I enjoy reading books like book_0307268977, book_0307387941, book_0099555352, book_0061702587, book_0061999768, book_0061894443. Can you recommend similar books I might enjoy?",1,030726999X|006118943X|0141439629|0230744184|0140433880,030726999X
0060548940,item_0060548940,,0.0,4.0,A106016KSI0YQ,0141441038|0140285539|0143039709|0060530677|0307275167,"I enjoy reading books like book_0140147551, book_0140430350, book_0151446474, book_014005667X, book_0140157654, book_0192853961. Can you recommend similar books I might enjoy?",1,"The user likes: book_0140147551, book_0140430350, book_0151446474, book_014005667X, book_0140157654","I enjoy reading books like book_0140147551, book_0140430350, book_0151446474, book_014005667X, book_0140157654, book_0192853961. Can you recommend similar books I might enjoy?",1,0060548940|0061928127|0307378721|0143122053|014200331X|0143122207|0297646206,0060548940
0143118587,item_0143118587,,0.0,4.0,A10BZSGALQPS0V,0307477479|0141034262|0307377342|0140306013|0307265757,"I enjoy reading books like book_0060987049, book_0307279464, book_0307387178, book_0060512806, book_0141012692, book_0006550436. Can you recommend similar books I might enjoy?",1,"The user likes: book_0060987049, book_0307279464, book_0307387178, book_0060512806, book_0141012692","I enjoy reading books like book_0060987049, book_0307279464, book_0307387178, book_0060512806, book_0141012692, book_0006550436. Can you recommend similar books I might enjoy?",1,0143118587|0140092501|0307476464|0062065246|0140048979|0062255657|0151013047|0062120395,0143118587
0062085492,item_0062085492,,0.0,4.0,A10E3F50DIUJEE,0307452891|0307360814|0061878200|006198390X|0307266192,"I enjoy reading books like book_0061148512, book_0141800356, book_0099440784, book_0307341569, book_0307341542, book_0307461572. Can you recommend similar books I might enjoy?",1,"The user likes: book_0061148512, book_0141800356, book_0099440784, book_0307341569, book_0307341542","I enjoy reading books like book_0061148512, book_0141800356, book_0099440784, book_0307341569, book_0307341542, book_0307461572. Can you recommend similar books I might enjoy?",1,0062085492|0060652950|0060779632|0062284398|0062309897,0062085492
0138158053,item_0138158053,,0.0,4.0,A10G4BPT5MGBHY,0061549231|0307275175|0307407861|0307265757|0141322209,"I enjoy reading books like book_0060852550, book_0061243582, book_0143113623, book_0307266745, book_0240520939, book_0141324910. Can you recommend similar books I might enjoy?",1,"The user likes: book_0060852550, book_0061243582, book_0143113623, book_0307266745, book_0240520939","I enjoy reading books like book_0060852550, book_0061243582, book_0143113623, book_0307266745, book_0240520939, book_0141324910. Can you recommend similar books I might enjoy?",1,0138158053|0240811631|0142427772|0240816641,0138158053
0062197258,item_0062197258,,0.0,4.0,A10IKHRUSMKP46,0061450553|0307341569|006102001X|0263873668|0060760915,"I enjoy reading books like book_0060872985, book_0143113445, book_0060833203, book_0152058265, book_0307338487, book_0061198757. Can you recommend similar books I might enjoy?",1,"The user likes: book_0060872985, book_0143113445, book_0060833203, book_0152058265, book_0307338487","I enjoy reading books like book_0060872985, book_0143113445, book_0060833203, book_0152058265, book_0307338487, book_0061198757. Can you recommend similar books I might enjoy?",1,0062197258|0062069128|0307465209|0061840300|0062115359|0062077902,0062197258
0143125311,item_0143125311,,0.0,4.0,A10K3DLOEVMKW3,0140185887|0140189440|030733936X|0143119729|0060936223,"I enjoy reading books like book_0142002046, book_0224619101, book_0061998885, book_0140274995, book_0060089555, book_0060083956. Can you recommend similar books I might enjoy?",1,"The user likes: book_0142002046, book_0224619101, book_0061998885, book_0140274995, book_0060089555","I enjoy reading books like book_0142002046, book_0224619101, book_0061998885, book_0140274995, book_0060089555, book_0060083956. Can you recommend similar books I might enjoy?",1,0143125311|009951169X|0007431201|0062223127|0142180319,0143125311
0199759898,item_0199759898,,0.0,4.0,A10LWBOIZCF2QT,0143036556|0060523808|0143038419|0060794410|0141034599,"I enjoy reading books like book_0307275167, book_0195148274, book_0060838582, book_0060006641, book_0307277674, book_0060577207. Can you recommend similar books I might enjoy?",1,"The user likes: book_0307275167, book_0195148274, book_0060838582, book_0060006641, book_0307277674","I enjoy reading books like book_0307275167, book_0195148274, book_0060838582, book_0060006641, book_0307277674, book_0060577207. Can you recommend similar books I might enjoy?",1,0199759898|0061655961|0061928127|0133352854|0307352145|0307463974|0007447868,0199759898
