id,title,category,price,ranking
1608322262,Bambino Balls Short Sleeve Football Outfit Brown and White,Clothing | Baby | Bodysuits | Baby Boys,,28553.0
3999847743,Bockle&reg; New York Leatherjeans Men Pants Leather Jeans New,Clothing | Men | Big & Tall,,484677.0
9820303354,"Tommy Bahama Embroidered Legendary Lures Silk Camp Shirt (Color: Oceanaire Blue, Size XL)","Men | Tommy Bahama | T-Shirts | Novelty, Costumes & More | Shirts | Clothing | Novelty | T",,1918288.0
B00001TQ34,Spider-Man Adult Halloween Costume,"Costumes | Novelty, Costumes & More | Men | Costumes & Accessories",20.59,33382.0
B00001TZYK,Disguise Women's Minnie Mouse Costume,"Costumes | Novelty, Costumes & More | Women | Costumes & Accessories",27.32,465381.0
B00001TZZN,Adult Cruella DeVil Costume,"Accessories | Band & Music Fan | Costumes | Women | Novelty, Costumes & More | Costumes & Accessories",34.98,153602.0
B00004SR8Z,Lewis N. Clark Deluxe Neck Stash,Travel Wallets | Travel Accessories | Luggage & Travel Gear,12.8,1631.0
B00004SR94,"Lewis N. Clark Dry Stash, Red",Travel Wallets | Travel Accessories | Luggage & Travel Gear,,1881865.0
B00004SR9N,Lewis N. Clark  Replacement Luggage Shoulder Strap Bag,Luggage Straps | Travel Accessories | Luggage & Travel Gear,7.72,16816.0
B00004U1KF,Plus Size Medusa Costume,"Accessories | Band & Music Fan | Costumes | Women | Novelty, Costumes & More | Costumes & Accessories",23.4,294663.0
B00004U3LF,Rubie's Costume Scarecrow Adult Costume,"Costumes | Novelty, Costumes & More | Men | Costumes & Accessories",27.35,26446.0
B00005NBFI,Dreamwave Little Boys' Spiderman Trunks (Toddler/Kid) - Blue - 2T,Boys | Swim | Clothing | Board Shorts,,1771612.0
B00005NP7D,Bob the Builder Deluxe Child Halloween Costume Size 4-6,"Boys | Kids & Baby | Costumes | Novelty, Costumes & More | Costumes & Accessories",,1396778.0
B00006LZYU,"Executive 3-Button Wool Blazer (BLACK, 38 SHORT)",Big & Tall | Men | Suits & Sport Coats | Sport Coats & Blazers | Clothing,,1629209.0
B00006M01Y,"Wool/Cashmere Classic Weight With Satin Lining Full Length Topcoat (BLACK, 52 X-LONG)",Big & Tall | Men | Outerwear & Coats | Clothing | Wool & Blends | Jackets & Coats,,1328650.0
B00006M1B8,"Wrinkle-Resistant Cotton Twill Plain Front Pants (NAVY, 33 33&quot; INSEAM)",Big & Tall | Men | Casual | Clothing | Pants,,498215.0
B00006M6IH,"Pinpoint Oxford Buttondown Collar Striped Dress Shirt Big or Tall (BLUE WIDE STRIPE, 18 36 TALL)",Big & Tall | Men | Dress Shirts | Shirts | Clothing | Button-Down Shirts,,662673.0
B00006MIYL,"Merino Wool Over-The-Calf Socks (TAUPE, OVER CALF)",Big & Tall | Men | Dress & Trouser Socks | Clothing | Socks,,757041.0
B00006MM6V,"Classic Cotton End-On-End Boxer (BLUE, 32)",Boxers | Big & Tall | Men | Underwear | Clothing,,1801478.0
B00006MVYA,"Cedar Tie Hanger (AS PICTURED, ONE SIZE)","Accessories | Novelty, Costumes & More | Band & Music Fan",,1288072.0
B00006XXGO,Converse Unisex Chuck Taylor All Star Hi Top Black Monochrome Sneaker,"Shoes | Converse | Work Wear & Uniforms | C | Street, Surf & Skate | Men | Fashion Sneakers | Novelty, Costumes & More",,
B0000722DD,"Under Armour Men's Full Tee ( sz. XXXL, White )",Active Shirts & Tees | Active | Clothing | Men,,817726.0
B0000727P4,"adidas Men's Cosmos 2 MD ( sz. 16.0, Black/White/Silver )","Men | adidas | Exotic Apparel | Shoes | Athletic | Novelty, Costumes & More | Track & Field & Cross Country",,1065380.0
B000072GXB,"Saucony Men's 3D Grid Hurricane ( sz. 08.0, White/Navy/Silver )","Men | Running | Exotic Apparel | Shoes | Athletic | Novelty, Costumes & More | S | Saucony",,1063079.0
B0000731RO,High Sierra Fat Boy,Boys | Clothing,,
B00007498E,"adidas Men's Predator Mania TRX FG ( sz. 06.5, Black/White/Red )","Men | adidas | Exotic Apparel | Shoes | Athletic | Novelty, Costumes & More | Soccer",,1008262.0
B000074Q56,Lugz Men's Strutt Boot,"Men | L | Shoes | Boots | Surf, Skate & Street | Lugz",,38898.0
B000074ZOO,"Puma Men's Ultra Trainer ( sz. 10.5, Black/black )","Men | Puma | Exotic Apparel | Fitness & Cross-Training | Shoes | Athletic | Novelty, Costumes & More | P | Baseball & Softball",,898083.0
B00007AS82,"Kipling Lancelot Flap Shoulder Bag, True Blue, One Size",Messenger Bags | Luggage & Travel Gear,,258529.0
B00007AU5O,Kipling Child Backpack - Small (True Blue),Backpacks | Luggage & Travel Gear,,1972419.0
B00007FCI7,"Eagle Creek Travel Gear Neck Pouch,Tan",Travel Wallets | Travel Accessories | Luggage & Travel Gear,,227305.0
B00007GD9W,Buxton Heiress Convertible&reg; Billfold,"Wallets, Card Cases & Money Organizers | Accessories | Wallets | Band & Music Fan | Women | Novelty, Costumes & More",18.02,28110.0
B00007ICLL,V-Neck Pique Sweatshirt Black XL,"Novelty, Costumes & More | Men | Exotic Apparel",,3402840.0
B00007ID06,Deluxe Arctic Survival Parka Navy 3XL,"Novelty, Costumes & More | Men | Exotic Apparel",,3348111.0
B0000862FI,Vanity Fair Women's Rosette Lace Full Slip  #10103,"Plus-Size | Full Slips | Women | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates | Slips",,1792.0
B0000862XJ,Carnival Women's Front Closure Longline,"Plus-Size | Lingerie | Women | Corsets | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates | Bustiers & Corsets",,10632.0
B000086393,106l 1x Nude Lady Romance Nylon Coulotte,"Plus-Size | Women | Half Slips | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates | Slips",22.5,496696.0
B0000863V8,Aviana Wire-Free,"Women | Intimates | Bras | Clothing | Everyday Bras | Petite | Lingerie, Sleep & Lounge",,73688.0
B0000865IE,Va Bien Women's Plus Size Body Briefer,"Plus-Size | Women | Lingerie, Sleep & Lounge | Clothing | Petite | Shapewear | Intimates | Bodysuits",,69101.0
B0000866FH,886 8 Beige Carole Under Nylon Tailored Briefs,"Plus-Size | Briefs | Panties | Women | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates",4.66,638723.0
B0000868C8,"Playtex Super Look Plus Brief, X-Large, White","Women | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates",,1635833.0
B0000868O4,Nearly Me Silicone Shoulder Strap Pad,Women,6.0,90700.0
B00008AALU,Dkny Women's Opaque Control Top Coverage Tights,Tights | DKNY | Socks & Hosiery | Women | Clothing | Petite | D,,35732.0
B00008E27S,Nancy Ganz Wonder-Wear Capri Pants Shapewear,"Thigh Slimmers | Women | Lingerie, Sleep & Lounge | Clothing | Petite | Shapewear | Intimates",,2343564.0
B00008ID0L,"Jockey Women's Underwear Elance French Cut - 3 Pack, deep blue dot, 5","Briefs | Panties | Women | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates",,79022.0
B00008IOHR,Fantasie Smoothing Full Cup Underwire Bra,"Everyday Bras | Women | Bras | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates",,6445.0
B00008IOM0,Grenier Cotton Molded Sports Bra (8505),"Everyday Bras | Women | Bras | Lingerie, Sleep & Lounge | Clothing | Petite | Intimates",,187178.0
