attribute,usage
Pop,"Background music, Radio play, Mainstream appeal, Dance parties, Catchy tunes, Simple melodies, Commercial use, Social gatherings, Uplifting mood, Easy listening, Mass entertainment, Trendy playlists, Youth culture, Pop culture influence"
Comedy & Spoken Word,"Stand-up comedy, Storytelling, Satirical commentary, Humorous podcasts, Spoken word poetry, Comedy albums, Audiobooks, Radio shows, Improv performances, Comedy skits, Monologues, Parody songs, Comedy specials, Entertaining speeches"
Spoken Word,"Language learning, Poetry recitation, Storytelling, Educational content, Motivational speeches, Audiobooks, Cultural expression, Personal reflection, Public speaking, Performance art, Emotional connection, Narrative delivery, Artistic expression, Spoken poetry, Verbal engagement"
Country,"Road trips, Backyard barbecues, Line dancing, Honky-tonk bars, Southern charm, Nostalgic storytelling, Heartfelt ballads, Cowboy culture, Rustic weddings, Campfire gatherings, Country fairs, Rodeo events, Small-town festivals, Rural lifestyle, Family reunions"
Americana,"Cultural storytelling, Folk traditions, Road trips, Nostalgic reflection, Community gatherings, Rural settings, Historical context, American roots, Acoustic sessions, Campfire ambiance, Heartland vibes, Rustic charm, Southern influence, Heritage celebration, Americana festivals"
Shock Comedy,"Dark humor, unexpected twists, satirical elements, boundary-pushing, social commentary, absurdity, surprise factor, taboo topics, comedic shock value, unconventional storytelling, irreverent humor, provocative themes, edgy content, comedic discomfort, cultural critique."
Classic Rock,"Nostalgic gatherings, Road trips, Barbecues, Classic rock radio, Guitar solos, Vinyl collections, Rock anthems, Concert experiences, Generational bonding, Iconic bands, Timeless hits, Cultural impact, Music festivals, Rock history, Emotional connection"
Glam,"Retro nostalgia, Theatrical performances, Fashion shows, Energetic parties, 80s revival, Glam rock, Hair metal, Visual spectacle, Bold expression, Campy humor, Glamorous events, High-energy concerts, Glamorous aesthetics, Glamorous personas, Glamorous soundtracks"
Progressive Metal,"Focus enhancement, Virtuosic displays, Complex compositions, Emotional depth, Conceptual storytelling, Technical proficiency, Jazz influences, ADHD aid, Social impact, Unique fusion, Musical exploration, Progressive innovation, Mood setting, Intellectual engagement, Diverse influences"
Progressive,"Complex song structures, Thought-provoking, Time changes, Longer song lengths, Artistic touches, Soothing, Non-repetitive, Emotional depth, Genre-blending, Introspective listening, Musical exploration, Challenging norms, Dynamic compositions, Intellectual engagement, Unique soundscapes"
Rock,"Energetic events, Youth culture, Nostalgic moments, Emotional release, Social gatherings, Driving music, Workout sessions, Live performances, Rebellious expression, Cultural identity, Background music, Mood setting, Personal reflection, Creative inspiration"
