id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets
B000I5X82O,An Other Cup,Europe | International Music | Britain & Ireland | Britain,10.98,4.5,AGVHX25AY2MLNKQOGPQ4GIDEYDIQ,B000FI9OSG|B00005UBMQ|B00005UBN2|B00005UBMZ,Could you recommend a music piece that captures the essence of British heritage for a cultural identity event?,3,"The user has a unique preference for album-oriented rock and arena rock, indicating a taste for music that is both expansive and designed for large audiences.",Could you recommend a music piece that captures the essence of British heritage for a cultural identity event? I'm not sure about the specific listening scene.,-1.0,
B00004R7FV,Three for Love,Disco | Dance & Electronic,14.88,4.6,AGIETC6PEEIJA5HZCKGJ6ZLHSMPQ,B00003Q46X|B00000AXWU|B00WTNSMM4|B008S80PCE|B00104K0QY|B00008KH22|B000852G72|B00DSAUGUI|B00000AFQ0|B000002WT1,"I need a music album with vibrant Disco and Dance & Electronic rhythms and energetic beats, what do you suggest for someone who loves Dance & Electronic, Pop, Jazz, and Blues?",-1,"The user shows a unique preference for music that blends traditional and modern styles, as indicated by their interest in albums like 'Complete Sussex & Columbia Album Masters' and 'Blues in the Pocket.'",I need a music album with vibrant Disco and Dance & Electronic rhythms and energetic beats.,2.0,vibrant Disco rhythms|Dance & Electronic rhythms and energetic beats
B0017LFKOC,25 Best: Kenny Rogers,Cowboy | Country,15.08,4.5,AFNFZ2CJO7U4MOJMLLUJD7SUOBUQ,B001F0K0M2|B000B8GTEW|B0013L5M08|B00000255F|B00000DCHI|B000001DVP|B00005BJ9X|B0002S94MK|B000002NFI|B00005USBH|B000007SFM|B0000BWVO3|B000HA4AAE|B000H0MKGU|B00004R7VU|B000I0QKFG|B000002GHQ|B000007XUQ|B000PTYPFW|B0000024QR|B000BISBDO|B00005NWMI|B001041JKU|B000T0C0MC,I'm looking for a music collection that provides a nostalgic vibe for a backyard barbecue.,1,"The user shows a particular interest in holiday-themed music and duets, suggesting a preference for seasonal and collaborative musical works.",I'm looking for a music collection that provides a nostalgic vibe for a backyard barbecue. Please recommend me some different styles of music.,-1.0,
B009TT0616,Live Baby Live,Pop,16.5,4.6,AEJSRCRJTWSF3UHCZWTXKJPATJRQ,B00ANQMZOK|B01H2ROW1Q|B0012GMUY0|B000LC51TM|B005DEVH0K|B01DXT208Y|B001CNFZEK|B000000HIY|B00006AW2K|B00006AW2G|B0008G2ETQ|B0019M6354,Do you have a tune that would be perfect for a lively dance party?,0,"The user has a unique preference for live festival recordings and comprehensive anthology sets, indicating a deep appreciation for the historical and cultural significance of classic rock music.",Do you have a tune that would be perfect for a lively dance party?,1.0,lively dance party
B00000DG1R,Greatest,Country | Today's Country,9.6,4.7,AFP6L5IX3VYZN4P3VTLTG45SC4WQ,B000002GFN|B000002GFE|B000H305U0|B005FVFWOI|B00006JO4Q|B000059QYB,"Can you suggest a country music collection that features today's top hits and artists, considering I'm an adult who usually enjoys pop and dance music like Janet Jackson and Justin Timberlake?",-1,"The user shows a preference for music deals, particularly in the price range of $7 - $10, and is interested in general dance music.",Can you suggest a country music collection that features today's top hits and artists?,2.0,country music collection|today's top hits and artists
B002LCOQQ4,Autobahn,Electronica | Dance & Electronic,17.99,4.7,AEAC6ASE2SUCKYGNQ7BV6URWRTOA,B00000E2RP|B073R6K4H4|B00I3LJQYO|B019F588JU|B01HSRSMLG|B00I9NJFG0|B00J48PMKC|B00000DG0A|B000003FR4|B01543DG5I|B0039TD73G|B013CWFOR6|B0000C0FHP|B013YKOVL6|B00ZJ5QXDO|B00SCK3O26|B000U05ITS|B000002P72|B00BKU9ZFU|B0000041JX|B000001GD3|B000000UV9|B00HHC33YY|B00E9JLQB0|B0000041W3|B000ALZHMK|B00000I92V|B000001583|B000001G4M|B00004W510|B004K4T6E8|B0000041U9|B000002LDE|B0000041C4|B0033QC0WE|B000G6H3SU|B0096N6AEC,"What's a good electronica dance track with electronic elements and rhythmic beats for someone who enjoys classical, jazz, and pop music?",-1,"The user has a unique preference for piano concertos and symphonies, as well as a specific interest in recordings of live performances and studio recordings.",What's a good electronica dance track with electronic elements and rhythmic beats?,2.0,electronica dance track with electronic elements|rhythmic beats
B0007WZ9NO,Cold Currentz,Rap & Hip-Hop,49.98,4.8,AFQWIBQ7QVCMX44VMKHOWXMAZTHA,B001HEIITI|B000T5PML8|B0007KIFU0|B000002L0N,I'm looking for a track that provides a strong sense of cultural identity for a community event.,0,"The user has a strong preference for East Coast and Pop Rap music styles, indicating a taste for both classic and modern rap influences.",I'm looking for a track that provides a strong sense of cultural identity for a community event.,1.0,strong sense of cultural identity for a community event
B0000C3I5V,All Night Wrong,Rock | Progressive Rock | Progressive,14.85,4.4,AGWEAXC36WPVGR2QTQBCL33CPIGA,B0002X064A|B000003ZAZ|B00006IU73|B0000033P0,Can you recommend me a track with complex song structures and experimental sounds for a thought-provoking evening?,1,"The user has a unique preference for music that is characterized by complex compositions and innovative sounds, as indicated by their interest in progressive rock.",Can you recommend me a track with complex song structures and experimental sounds for a thought-provoking evening? Please recommend me some different styles of music.,-1.0,
B0000C23DP,Sacred Love,Adult Alternative | Pop,7.98,4.4,AEXPGEMOUN3CWHUOK6VOJNFZYQ4Q,B000070WJE|B000002JBE|B00000JWN0|B000002GKZ,Do you have a song that blends pop with soul and R&B for a vivid dreaming experience?,3,The user has a unique preference for music that combines elements of blue-eyed soul and adult alternative styles.,Do you have a song that blends pop with soul and R&B? I'm not sure about the specific listening scene.,-1.0,
B003TOS93O,Live At The Isle Of Wight Festival 1970,Hard Rock | Rock,19.98,4.6,AFXQQKJSPEBTBYXDGJULO2OCML6A,B08X7S43KV|B079NBWT35|B0091Q82L8|B018UYWMJY|B0000252Z1|B004VQFQ2Q|B004RQVVGU|B00RUT3DTE|B074TS9QPV|B00382X4WI|B00382X4XC|B004DL5K2K|B07CPMDPVJ,I'm interested in a track that can help me boost my energy during an intense workout.,1,The user has a unique preference for live album recordings and expanded or legacy editions of albums.,I'm interested in a track that can help me boost my energy during a workout. Please recommend me some different styles of music.,-1.0,
B07GRRH5Q9,Greatest Hits: You Never Saw Coming,Classic Rock,14.98,4.8,AHLWQKSPFV3S5NRHPJZRMEYS6ROQ,B079MXSS6X|B003ZUCXP2|B00TEJB8JK|B002F3BPJA|B000B5NHYU,Can you point me to a music collection that's perfect for a nostalgic gathering with friends?,0,The user shows a unique preference for remastered original recordings and has a specific interest in Hard Rock music.,Can you point me to a music collection that's perfect for a nostalgic gathering?,1.0,nostalgic gathering
B01EXWDPJ8,Funny Girl: London Cast,Pop,,4.1,AFQSVDDZGMS5GDE55X4ALQQI2PTQ,B0118L49WY|B00AK3WSR0|B01N6BMWGV|B0002VL10K|B01CKO9TQ4|B01LWLY75R,Could you suggest a tune that would be perfect for a lively dance party?,0,The user has a unique preference for world premiere cast recordings and enjoys music from both classic and contemporary musicals.,Could you suggest a tune that would be perfect for a lively dance party?,1.0,lively dance party
B000002GJS,Waking Up The Neighbours,Classic Rock | Today's Deals in Music | Album-Oriented Rock (AOR) | CDs $7 - $10,11.4,4.7,AH6UIBC6VVFY77F3JP6ZXCZYESQA,B000025Y9I|B00775R43W|B000002OGY|B00770KFEM,Could you guide me to a music album that is best suited for a nostalgic road trip?,1,"The user has a unique preference for classic rock and album-oriented rock, with a notable interest in pop and country music as well.",Could you guide me to a music album that is best suited for a nostalgic road trip? Please recommend me some different styles of music.,-1.0,
B000002AHU,Live at the Bear in Chicago,CDs $7 - $10 | Christian & Gospel | Gospel | Today's Deals in Music,69.98,3.9,AGNYAAAH5GRODTVICB2SRBGL3UKA,B09BZMZ31T|B0002IQJUK|B000008JFR|B00000J8HY|B07WDDMLWJ|B07FDMZ233|B07FVFQF29|B00008L3VQ|B0794MCJWX|B000000PGX|B000002IQD|B000KHX7HG|B003F5WO24|B004OZTBZ2,"Do you have any Christian & Gospel music CDs like ""Live at the Bear in Chicago"" on sale? I'm an adult interested in spiritual themes.",-1,"The user shows a particular interest in live recordings and tribute albums, indicating a preference for authentic and heartfelt musical experiences.","Do you have any Christian & Gospel music CDs like ""Live at the Bear in Chicago"" on sale?",2.0,Christian & Gospel music CDs|Live at the Bear in Chicago
B06XD38NG5,Gilded,Pop,22.97,4.8,AFBOPWV3TW73RRYKN4WLXKPNQQJA,B00VJ5Q0Y0|B07JJ6HQF3|B07KD6J4FD|B07R5555LF,Can you suggest a tune that would be perfect for a lively dance party?,0,"The user has a unique preference for music that blends different styles, as indicated by their interest in both Pop and Metal genres.",Can you suggest a tune that would be perfect for a dance party?,1.0,dance party
B075FD2QYR,Kelly Clarkson Meaning Of Life,Pop,9.28,4.7,AGCFLZTK53YORD3ZQGAA77A3GILA,B0001JXQ7O|B00008BX4X|B0753DBSFH|B01INF8NIO|B000002ASA|B06XFG5ZSX|B00005YUOA|B00M31VHL0|B00000JT6E|B000003GFQ|B000094J89|B002BIGCE2,"Could you suggest a pop music album by Kelly Clarkson, like ""Meaning Of Life,"" that aligns with my interest in classic and live performances, particularly in R&B and pop?",-1,"The user shows a unique interest in remastered and expanded editions of classic albums, as well as live concert recordings. There is also a notable inclination towards international music and budget-friendly music deals.","Suggest a pop music album by Kelly Clarkson, like ""Meaning Of Life,"" that aligns with classic and live performances in R&B and pop.",2.0,classic and live performances|R&B and pop
B000007OD2,Day of the Saxons,CDs $7 - $10 | Hard Rock | Hard Rock & Metal | Today's Deals in Music,59.99,4.9,AEC47T4F3KHPRWF5QGGOITEV2Z3A,B000009EAD|B000007T73|B0000061YV|B00000I6F6|B00000IN5K|B00000BKE1|B0000060ZI|B000000H66|B000002AOU,I'm interested in a music CD that can help me boost my energy during intense workouts.,1,"The user has a unique preference for subgenres like progressive metal and death metal, indicating a taste for complex and intense musical styles.",I'm interested in a music CD that can help me boost my energy during workouts. Please recommend me some different styles of music.,-1.0,
B000GIW9H8,Ashes Against the Grain,Progressive Rock | Rock | Progressive,84.74,4.7,AF6XYSEJ6U3VMCP7S3TWLVYS6WYQ,B000JBXOV2|B000EMGANA|B000HIP45G|B000H7ZZTC|B000EMSY2U|B000ERVI1O,"I'm looking for a Progressive Rock album with international influences, especially from Japan or Asia. Any recommendations for a niche music enthusiast in their 30s?",-1,The user has a unique preference for music that blends Indie & Alternative styles with Hardcore & Punk influences.,Progressive Rock album with international influences from Japan or Asia.,1.0,Progressive Rock album with international influences from Japan or Asia
B00005NP7U,The 50 Greatest Love Songs,Rockabilly | Oldies & Retro | Rock,28.82,4.7,AENLOBVGEWIDSBV422CJZS65RX4Q,B000002XXD|B00000265P|B00000JWNC|B00000638B,I'm looking for a music collection featuring classic rockabilly and retro oldies love songs. What do you suggest for a nostalgic music enthusiast in their 40s?,-1,"The user shows a unique interest in music related to Hawaii and the Pacific Islands, as well as a tendency to explore budget-friendly music options.",Classic rockabilly and retro oldies love songs.,2.0,Classic rockabilly|retro oldies love songs
B01DRNDYMM,Loud Hailer,Rhino Records,13.98,4.4,AHT5SES3SVG3Z62DFN3VNTCSZSQQ,B01EWEG7DS|B01HI8WXB0|B0076NAWWA|B000002BGS|B00JQHON74|B005GZFEY6,"Can you point me to a music album with a distinctive and impactful sound, like ""Loud Hailer"" by Rhino Records, that blends rock and progressive styles for an adult music enthusiast?",-1,"The user has a unique preference for music that combines elements of progressive rock and classic rock, indicating a taste for complex and innovative musical compositions.","Can you point me to a music album with a distinctive and impactful sound, like ""Loud Hailer"" by Rhino Records, that blends rock and progressive styles?",2.0,music album with a distinctive and impactful sound|blends rock and progressive styles
B07JK2HX48,Beggars Banquet,Rock,43.92,4.7,AGQ4MNY3WO4GJVNAODU76YQNL3UA,B07CPJYQQ5|B074CG6NV7|B01N2W87O2|B01HEYDFJC|B01IO7OHTU|B013R9LE1Y|B00006JKOL|B00NCGXXT4|B00IXHBXEO|B00MG4CUH4|B00J4A27P8|B00KBUEYMY|B00H8XF9I0|B00DWVOPHI|B00EG0MVMA|B00AYHKIZ6|B000YZDLZM|B000002VKJ,"Can you point me to a classic rock album by The Rolling Stones that I might like, considering my strong interest in 1960s and 1970s music?",-1,"The user shows a unique interest in remixed and expanded editions of classic albums, as well as anniversary editions and live recordings.",Classic rock album by The Rolling Stones from the 1960s and 1970s.,1.0,Classic rock album by The Rolling Stones from the 1960s and 1970s
B01GUBRPB4,The Last Stand,Metal | Pop Metal,12.57,4.9,AE6EX3YFOG5MNAK2NILONGV6O3RQ,B0002FHCOA|B000ZOSMZG|B0000032PS|B000002W4P|B000093OU7|B000001F9E|B001BPNURI|B001ESEGPW|B000294T2O|B000008CXT|B000001FN8|B000001EUR|B000002LPD|B000001EUP|B00005NGSE|B000002IWH|B001E45STY|B000006MV0|B000065V8J|B00005LN6P|B000025A3V|B0002ZI9DI|B0000032PQ,"Could you guide me to a music CD that is best suited for an energetic workout, ideally with a classic rock vibe from the 70s and 80s?",1,"The user shows a particular interest in remastered albums and soundtracks, suggesting a preference for high-quality audio and possibly a nostalgic connection to certain films or eras.",Could you guide me to a music CD that is best suited for an energetic workout with a classic rock vibe from the 70s and 80s? Please recommend me some different styles of music.,-1.0,
B000MCICQ0,Super Hits,Oldies | Pop,6.97,4.8,AEMKVLOVAZPK3WUAVL5DKZZYJPOA,B009SLANU4|B0000082IN|B0007SQO00|B0000009ZN|B0000009YJ,Can you point me to a music collection featuring Oldies Pop Super Hits with classic and timeless tracks from the golden era of popular music?,-1,"The user has a unique preference for instrumental music and live performance recordings, indicating an appreciation for musical craftsmanship and dynamic sound experiences.",Oldies Pop Super Hits with classic and timeless tracks from the golden era of popular music.,1.0,Oldies Pop Super Hits with classic and timeless tracks from the golden era of popular music
B000LP6KSU,The Black Parade,Indie & Alternative | Emo | Hardcore & Punk,11.63,4.8,AGHQ22S4EQ7XK5PXECXCBC4O3IHQ,B0002M5U88|B000002KZ1|B00IXLQJQ2|B0007Y4TVU|B0000AZKM0|B00006F83Y|B0002858YS,Help me find a playlist that captures the energy of a live concert experience.,3,"The user has a unique preference for music that blends elements of alternative and progressive rock and metal, often with explicit lyrics.",Help me find a playlist that captures the energy of a live concert experience. I'm not sure about the specific listening scene.,-1.0,
B00004U91U,This Business of Art,Indie & Alternative | Indie & Lo-Fi | Indie Rock,35.2,4.5,AEULVRFMMRDFL6OXMJG2YD3UNMGA,B00008OWZG|B00008BL67|B000002VN7|B000002J88|B00000DGUG|B00004Z3M3|B000059XKZ|B00002DDNE|B00006EXEE|B000067ARO|B00005MK9T|B000021YQV,I'm looking for a CD with indie and alternative indie rock music that includes lo-fi elements. Any recommendations for an adult music enthusiast?,-1,"The user shows a unique preference for music that is categorized under 'Indie & Lo-Fi' and 'Indie Rock', suggesting a taste for less mainstream, more niche music styles.",I'm looking for a CD with indie and alternative indie rock music with lo-fi elements.,1.0,CD with indie and alternative indie rock music with lo-fi elements
B000ND91SG,A Hundred Miles or More: A Collection,Bluegrass | Country,14.97,4.6,AHH56VGDILFGWPW5L35NRGZEUWMQ,B000F9TCI2|B001E6R7I2|B000000D92|B000002IT2,Can you suggest a playlist for a lively family reunion with a touch of nostalgia?,1,"The user has a unique preference for 'Oldies' and 'Adult Alternative' music, indicating a taste for nostalgic and possibly eclectic music styles.",Can you suggest a playlist for a lively family reunion? Please recommend me some different styles of music.,-1.0,
