attribute,usage
darkwave,Items tagged or categorized with darkwave.
german,Items tagged or categorized with german.
gothic,Items tagged or categorized with gothic.
seen live,Items tagged or categorized with seen live.
ambient,Items tagged or categorized with ambient.
gothic metal,Items tagged or categorized with gothic metal.
black metal,Items tagged or categorized with black metal.
doom metal,Items tagged or categorized with doom metal.
metal,Items tagged or categorized with metal.
industrial,Items tagged or categorized with industrial.
rock,Items tagged or categorized with rock.
industrial metal,Items tagged or categorized with industrial metal.
alternative,Items tagged or categorized with alternative.
j-rock,Items tagged or categorized with j-rock.
visual kei,Items tagged or categorized with visual kei.
japanese,Items tagged or categorized with japanese.
jrock,Items tagged or categorized with jrock.
ebm,Items tagged or categorized with ebm.
dark electro,Items tagged or categorized with dark electro.
electro-industrial,Items tagged or categorized with electro-industrial.
electronic,Items tagged or categorized with electronic.
harsh ebm,Items tagged or categorized with harsh ebm.
death metal,Items tagged or categorized with death metal.
brutal death metal,Items tagged or categorized with brutal death metal.
blackened death metal,Items tagged or categorized with blackened death metal.
polish,Items tagged or categorized with polish.
symphonic black metal,Items tagged or categorized with symphonic black metal.
melodic black metal,Items tagged or categorized with melodic black metal.
gothic rock,Items tagged or categorized with gothic rock.
goth,Items tagged or categorized with goth.
aggrotech,Items tagged or categorized with aggrotech.
avant-garde,Items tagged or categorized with avant-garde.
synthpop,Items tagged or categorized with synthpop.
futurepop,Items tagged or categorized with futurepop.
industrial rock,Items tagged or categorized with industrial rock.
instrumental,Items tagged or categorized with instrumental.
dance,Items tagged or categorized with dance.
indie,Items tagged or categorized with indie.
indie rock,Items tagged or categorized with indie rock.
dark,Items tagged or categorized with dark.
punk,Items tagged or categorized with punk.
industrial jungle pussy punk,Items tagged or categorized with industrial jungle pussy punk.
classical,Items tagged or categorized with classical.
romantic,Items tagged or categorized with romantic.
gossip girl,Items tagged or categorized with gossip girl.
christmas blend,Items tagged or categorized with christmas blend.
true norwegian black metal,Items tagged or categorized with true norwegian black metal.
epic,Items tagged or categorized with epic.
80s,Items tagged or categorized with 80s.
new wave,Items tagged or categorized with new wave.
pop,Items tagged or categorized with pop.
new romantic,Items tagged or categorized with new romantic.
duran duran,Items tagged or categorized with duran duran.
trip-hop,Items tagged or categorized with trip-hop.
chillout,Items tagged or categorized with chillout.
downtempo,Items tagged or categorized with downtempo.
female vocalists,Items tagged or categorized with female vocalists.
electronica,Items tagged or categorized with electronica.
house,Items tagged or categorized with house.
techno,Items tagged or categorized with techno.
lounge,Items tagged or categorized with lounge.
post-punk,Items tagged or categorized with post-punk.
synth pop,Items tagged or categorized with synth pop.
new age,Items tagged or categorized with new age.
norwegian,Items tagged or categorized with norwegian.
alternative rock,Items tagged or categorized with alternative rock.
britpop,Items tagged or categorized with britpop.
australian,Items tagged or categorized with australian.
soul,Items tagged or categorized with soul.
jazz,Items tagged or categorized with jazz.
singer-songwriter,Items tagged or categorized with singer-songwriter.
british,Items tagged or categorized with british.
soundtrack,Items tagged or categorized with soundtrack.
90s,Items tagged or categorized with 90s.
sexy,Items tagged or categorized with sexy.
electro,Items tagged or categorized with electro.
blues,Items tagged or categorized with blues.
hip-hop,Items tagged or categorized with hip-hop.
lady gaga,Items tagged or categorized with lady gaga.
drum and bass,Items tagged or categorized with drum and bass.
classic rock,Items tagged or categorized with classic rock.
70s,Items tagged or categorized with 70s.
blues rock,Items tagged or categorized with blues rock.
experimental,Items tagged or categorized with experimental.
drone,Items tagged or categorized with drone.
piano,Items tagged or categorized with piano.
dubstep,Items tagged or categorized with dubstep.
indietronica,Items tagged or categorized with indietronica.
post-rock,Items tagged or categorized with post-rock.
world,Items tagged or categorized with world.
progressive rock,Items tagged or categorized with progressive rock.
psychedelic,Items tagged or categorized with psychedelic.
progressive metal,Items tagged or categorized with progressive metal.
progressive,Items tagged or categorized with progressive.
funk,Items tagged or categorized with funk.
latin,Items tagged or categorized with latin.
male vocalists,Items tagged or categorized with male vocalists.
love,Items tagged or categorized with love.
post rock,Items tagged or categorized with post rock.
psychedelic rock,Items tagged or categorized with psychedelic rock.
trance,Items tagged or categorized with trance.
psytrance,Items tagged or categorized with psytrance.
goa,Items tagged or categorized with goa.
hard rock,Items tagged or categorized with hard rock.
heavy metal,Items tagged or categorized with heavy metal.
irish,Items tagged or categorized with irish.
acid jazz,Items tagged or categorized with acid jazz.
acoustic,Items tagged or categorized with acoustic.
pop rock,Items tagged or categorized with pop rock.
grunge,Items tagged or categorized with grunge.
progressive death metal,Items tagged or categorized with progressive death metal.
melancholic,Items tagged or categorized with melancholic.
folk,Items tagged or categorized with folk.
indie folk,Items tagged or categorized with indie folk.
mellow,Items tagged or categorized with mellow.
alternative metal,Items tagged or categorized with alternative metal.
nu metal,Items tagged or categorized with nu metal.
gypsy punk,Items tagged or categorized with gypsy punk.
summer,Items tagged or categorized with summer.
ska,Items tagged or categorized with ska.
favorite,Items tagged or categorized with favorite.
everythings illuminated soundtrack,Items tagged or categorized with everythings illuminated soundtrack.
punk rock,Items tagged or categorized with punk rock.
emo,Items tagged or categorized with emo.
indie pop,Items tagged or categorized with indie pop.
60s,Items tagged or categorized with 60s.
awesome,Items tagged or categorized with awesome.
awesome-ness,Items tagged or categorized with awesome-ness.
stoner rock,Items tagged or categorized with stoner rock.
southern rock,Items tagged or categorized with southern rock.
pop punk,Items tagged or categorized with pop punk.
new weird america,Items tagged or categorized with new weird america.
sunshine,Items tagged or categorized with sunshine.
rnb,Items tagged or categorized with rnb.
favorites,Items tagged or categorized with favorites.
keyshia cole,Items tagged or categorized with keyshia cole.
hip hop,Items tagged or categorized with hip hop.
reggae,Items tagged or categorized with reggae.
roots reggae,Items tagged or categorized with roots reggae.
jamaican,Items tagged or categorized with jamaican.
mpb,Items tagged or categorized with mpb.
brazilian,Items tagged or categorized with brazilian.
brasil,Items tagged or categorized with brasil.
urban,Items tagged or categorized with urban.
neo-soul,Items tagged or categorized with neo-soul.
rap,Items tagged or categorized with rap.
dope,Items tagged or categorized with dope.
jamaica,Items tagged or categorized with jamaica.
00s,Items tagged or categorized with 00s.
american,Items tagged or categorized with american.
ballad,Items tagged or categorized with ballad.
female vocalist,Items tagged or categorized with female vocalist.
soulful house,Items tagged or categorized with soulful house.
jill scott,Items tagged or categorized with jill scott.
classic,Items tagged or categorized with classic.
east coast rap,Items tagged or categorized with east coast rap.
beautiful,Items tagged or categorized with beautiful.
bossa nova,Items tagged or categorized with bossa nova.
cool,Items tagged or categorized with cool.
old school,Items tagged or categorized with old school.
gangsta rap,Items tagged or categorized with gangsta rap.
brazil,Items tagged or categorized with brazil.
legend,Items tagged or categorized with legend.
britney spears,Items tagged or categorized with britney spears.
american idol,Items tagged or categorized with american idol.
jordin sparks,Items tagged or categorized with jordin sparks.
male vocalist,Items tagged or categorized with male vocalist.
one tree hill,Items tagged or categorized with one tree hill.
canadian,Items tagged or categorized with canadian.
disney,Items tagged or categorized with disney.
hilary duff,Items tagged or categorized with hilary duff.
girl band,Items tagged or categorized with girl band.
ashley tisdale,Items tagged or categorized with ashley tisdale.
jojo,Items tagged or categorized with jojo.
dirty south,Items tagged or categorized with dirty south.
girl groups,Items tagged or categorized with girl groups.
popstars,Items tagged or categorized with popstars.
country,Items tagged or categorized with country.
deutsch,Items tagged or categorized with deutsch.
hit,Items tagged or categorized with hit.
modern country,Items tagged or categorized with modern country.
good pop,Items tagged or categorized with good pop.
korean,Items tagged or categorized with korean.
k-pop,Items tagged or categorized with k-pop.
kpop,Items tagged or categorized with kpop.
boyband,Items tagged or categorized with boyband.
depressive rock,Items tagged or categorized with depressive rock.
christian rock,Items tagged or categorized with christian rock.
christian,Items tagged or categorized with christian.
j-pop,Items tagged or categorized with j-pop.
jpop,Items tagged or categorized with jpop.
celtic,Items tagged or categorized with celtic.
medieval,Items tagged or categorized with medieval.
hardcore,Items tagged or categorized with hardcore.
