id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets,primary_target_id
595,Beauty and the Beast (1991),Animation,0.0,4.0,1,1035|2018|1028|150|1097,"I enjoy movies like Girl, Interrupted (1999), Back to the Future (1985), Cinderella (1950), Titanic (1997), Last Days of Disco, The (1998), Erin Brockovich (2000). I generally like drama comedy sci fi animation children films. Can you recommend similar movies I might enjoy?",1,"The user likes: Girl, Interrupted (1999), Back to the Future (1985), Cinderella (1950), Titanic (1997), Last Days of Disco, The (1998)","I enjoy movies like Girl, Interrupted (1999), Back to the Future (1985), Cinderella (1950), Titanic (1997), Last Days of Disco, The (1998), Erin Brockovich (2000). I generally like drama comedy sci fi animation children films. Can you recommend similar movies I might enjoy?",1,595|2355|2294|783|1566|1907|48,595
2140,"Dark Crystal, The (1982)",Children's,0.0,4.0,10,590|2078|2174|2001|963,"I enjoy movies like Pretty Woman (1990), Star Wars: Episode VI - Return of the Jedi (1983), Tom Jones (1963), Fantasia (1940), Children of a Lesser God (1986), Chicken Run (2000). I generally like comedy romance action adventure sci animation films. Can you recommend similar movies I might enjoy?",1,"The user likes: Pretty Woman (1990), Star Wars: Episode VI - Return of the Jedi (1983), Tom Jones (1963), Fantasia (1940), Children of a Lesser God (1986)","I enjoy movies like Pretty Woman (1990), Star Wars: Episode VI - Return of the Jedi (1983), Tom Jones (1963), Fantasia (1940), Children of a Lesser God (1986), Chicken Run (2000). I generally like comedy romance action adventure sci animation films. Can you recommend similar movies I might enjoy?",1,2140|2105|1654|1136|916|1223|1784|745|2599|1225|318|720|2398|904|1961|2096|750|1240|1023|1035|1233|3347|1292|527|1022|2087|2717|2498|1831|3593|275|3034|3447|595|1704|2693|2252,2140
2085,101 Dalmatians (1961),Animation,0.0,4.0,1000,1200|377|1374|2916|2406,"I enjoy movies like Star Wars: Episode IV - A New Hope (1977), Licence to Kill (1989), Cat on a Hot Tin Roof (1958), Star Wars: Episode VI - Return of the Jedi (1983), Verdict, The (1982), Braveheart (1995). I generally like action adventure fantasy sci drama romance films. Can you recommend similar movies I might enjoy?",1,"The user likes: Star Wars: Episode IV - A New Hope (1977), Licence to Kill (1989), Cat on a Hot Tin Roof (1958), Star Wars: Episode VI - Return of the Jedi (1983), Verdict, The (1982)","I enjoy movies like Star Wars: Episode IV - A New Hope (1977), Licence to Kill (1989), Cat on a Hot Tin Roof (1958), Star Wars: Episode VI - Return of the Jedi (1983), Verdict, The (1982), Braveheart (1995). I generally like action adventure fantasy sci drama romance films. Can you recommend similar movies I might enjoy?",1,2085|588|318|527|3363|1299|2804|2132|1104,2085
1554,"Pillow Book, The (1995)",Drama,0.0,4.0,1001,2700|3128|3178|3181|3052,"I enjoy movies like Raiders of the Lost Ark (1981), L.A. Confidential (1997), Guinevere (1999), Urbania (2000), Requiem for a Dream (2000), Almost Famous (2000). I generally like action adventure crime film noir mystery films. Can you recommend similar movies I might enjoy?",1,"The user likes: Raiders of the Lost Ark (1981), L.A. Confidential (1997), Guinevere (1999), Urbania (2000), Requiem for a Dream (2000)","I enjoy movies like Raiders of the Lost Ark (1981), L.A. Confidential (1997), Guinevere (1999), Urbania (2000), Requiem for a Dream (2000), Almost Famous (2000). I generally like action adventure crime film noir mystery films. Can you recommend similar movies I might enjoy?",1,1554|1721|2801|3951|2770|2976|2712|3115|2829|3081|1758|2626|2062|2310|2058|2272|2297|1909|1573|1669|1683|1483|1545|1282|3514|3854|2609|2769|3902|3317|953,1554
3072,Moonstruck (1987),Comedy,0.0,4.0,1002,2289|994|25|58|1594,"I enjoy movies like Rain Man (1988), Godfather: Part II, The (1974), Contender, The (2000), Almost Famous (2000), American Beauty (1999), Being John Malkovich (1999). I generally like drama action crime thriller comedy musical films. Can you recommend similar movies I might enjoy?",1,"The user likes: Rain Man (1988), Godfather: Part II, The (1974), Contender, The (2000), Almost Famous (2000), American Beauty (1999)","I enjoy movies like Rain Man (1988), Godfather: Part II, The (1974), Contender, The (2000), Almost Famous (2000), American Beauty (1999), Being John Malkovich (1999). I generally like drama action crime thriller comedy musical films. Can you recommend similar movies I might enjoy?",1,3072|1238|1079|3422|1189|2352|1222,3072
2301,History of the World: Part I (1981),Comedy,0.0,4.0,1004,590|3699|2135|2115|3771,"I enjoy movies like Princess Bride, The (1987), Great Escape, The (1963), Lady and the Tramp (1955), Fugitive, The (1993), Taxi Driver (1976), Mad Max 2 (a.k.a. The Road Warrior) (1981). I generally like action adventure comedy romance war animation films. Can you recommend similar movies I might enjoy?",1,"The user likes: Princess Bride, The (1987), Great Escape, The (1963), Lady and the Tramp (1955), Fugitive, The (1993), Taxi Driver (1976)","I enjoy movies like Princess Bride, The (1987), Great Escape, The (1963), Lady and the Tramp (1955), Fugitive, The (1993), Taxi Driver (1976), Mad Max 2 (a.k.a. The Road Warrior) (1981). I generally like action adventure comedy romance war animation films. Can you recommend similar movies I might enjoy?",1,2301|2261|11|1918|3178|1010|2012|1083|3398|2110|1911|317|1367|2861|413|2792|2375|2060|2709|2163|2717|1703|829|1266,2301
3679,"Decline of Western Civilization, The (1981)",Documentary,0.0,4.0,1005,1079|34|3072|1617|1252,"I enjoy movies like Raiders of the Lost Ark (1981), Schindler's List (1993), American Pie (1999), Being John Malkovich (1999), Bowfinger (1999), Bug's Life, A (1998). I generally like action adventure drama war comedy animation films. Can you recommend similar movies I might enjoy?",1,"The user likes: Raiders of the Lost Ark (1981), Schindler's List (1993), American Pie (1999), Being John Malkovich (1999), Bowfinger (1999)","I enjoy movies like Raiders of the Lost Ark (1981), Schindler's List (1993), American Pie (1999), Being John Malkovich (1999), Bowfinger (1999), Bug's Life, A (1998). I generally like action adventure drama war comedy animation films. Can you recommend similar movies I might enjoy?",1,3679|2064|1289|3897|1965|708|3916|1250|2312|2348,3679
2792,Airplane II: The Sequel (1982),Comedy,0.0,4.0,1007,2791|2716|3608|3552|2371,"I enjoy movies like Raiders of the Lost Ark (1981), Star Wars: Episode V - The Empire Strikes Back (1980), Predator 2 (1990), Animal House (1978), Monty Python and the Holy Grail (1974), Blazing Saddles (1974). I generally like action adventure drama sci fi thriller films. Can you recommend similar movies I might enjoy?",1,"The user likes: Raiders of the Lost Ark (1981), Star Wars: Episode V - The Empire Strikes Back (1980), Predator 2 (1990), Animal House (1978), Monty Python and the Holy Grail (1974)","I enjoy movies like Raiders of the Lost Ark (1981), Star Wars: Episode V - The Empire Strikes Back (1980), Predator 2 (1990), Animal House (1978), Monty Python and the Holy Grail (1974), Blazing Saddles (1974). I generally like action adventure drama sci fi thriller films. Can you recommend similar movies I might enjoy?",1,2792|1091|2717|2259,2792
3037,Little Big Man (1970),Comedy,0.0,4.0,1008,1276|1294|2300|3361|2863,"I enjoy movies like Taxi Driver (1976), Gone with the Wind (1939), American Beauty (1999), Being John Malkovich (1999), Clerks (1994), Doors, The (1991). I generally like drama thriller romance war comedy musical films. Can you recommend similar movies I might enjoy?",1,"The user likes: Taxi Driver (1976), Gone with the Wind (1939), American Beauty (1999), Being John Malkovich (1999), Clerks (1994)","I enjoy movies like Taxi Driver (1976), Gone with the Wind (1939), American Beauty (1999), Being John Malkovich (1999), Clerks (1994), Doors, The (1991). I generally like drama thriller romance war comedy musical films. Can you recommend similar movies I might enjoy?",1,3037|3671|1214|3421|3948,3037
3363,American Graffiti (1973),Comedy,0.0,4.0,1009,3594|3285|3751|3536|3831,"I enjoy movies like Sleeping Beauty (1959), E.T. the Extra-Terrestrial (1982), Almost Famous (2000), Best in Show (2000), Remember the Titans (2000), Frequency (2000). I generally like animation children s musical drama fantasy films. Can you recommend similar movies I might enjoy?",1,"The user likes: Sleeping Beauty (1959), E.T. the Extra-Terrestrial (1982), Almost Famous (2000), Best in Show (2000), Remember the Titans (2000)","I enjoy movies like Sleeping Beauty (1959), E.T. the Extra-Terrestrial (1982), Almost Famous (2000), Best in Show (2000), Remember the Titans (2000), Frequency (2000). I generally like animation children s musical drama fantasy films. Can you recommend similar movies I might enjoy?",1,3363|2329|1916|1885|2599,3363
