method,dataset,seed,n_sessions,HitRate@5,HitRate@10,Recall@5,Recall@10,NDCG@5,NDCG@10,MRR@5,MRR@10,avg_ask_count,avg_turn_count,avg_preference_error,wall_time_mean,wall_time_p90,LLM_HTTP_count,prompt_tokens,completion_tokens,total_tokens,SR10_CRS_final,SR15_CRS_final,AvgT_final,notes
MCMIPL,LAST_FM_STAR,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.56675,0.62600,8.26300,来自best!!!!!!!!行；CRS SR10非TAIRA HR@10
MCMIPL,LAST_FM_STAR,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.58200,0.63850,8.11500,同上
MCMIPL,LAST_FM_STAR,2,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.57550,0.63600,8.17100,同上
MCMIPL,MOVIE,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.48000,0.64440,10.30720,MovieLens README 数据名 MOVIE
MCMIPL,MOVIE,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,not_available,not_available,not_available,logs 无 best 行可解析
MCMIPL,MOVIE,2,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.49080,0.63840,10.27040,同上
MCMIPL,BOOK,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.38840,0.53520,10.96960,Amazon-Book 附加域
MCMIPL,BOOK,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.40760,0.55840,10.71320,同上
MCMIPL,BOOK,2,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,0.40680,0.54880,10.75160,同上
MCMIPL,YELP_STAR,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,not_available,not_available,not_available,本轮无 DONE 不可填最终评测
MCMIPL,YELP_STAR,1,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,not_available,not_available,not_available,stale DONE 旧跑次勿与 TAIRA triple 对齐
MCMIPL,YELP_STAR,2,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,not_available,not_available,not_available,本轮 incomplete
