method,dataset,seed,n_sessions,HitRate@5,HitRate@10,Recall@5,Recall@10,NDCG@5,NDCG@10,MRR@5,MRR@10,avg_ask_count,avg_turn_count,avg_preference_error,wall_time_mean,wall_time_p90,LLM_HTTP_count,prompt_tokens,completion_tokens,total_tokens,notes
TAIRA,amazon_book,0,500,not available,0.6778,not available,0.6778,not available,0.8428,not available,0.9167,0,1.0,not available,not available,not available,not available,not available,not available,not available,"Recall@10=HR@10 (LLM eval per parse_taira_metrics). ID-strict Recall@10: direct_HR@10=0.008 SR_col=pipeline success SR=0.918"
TAIRA,amazon_book,1,499,not available,0.6761,not available,0.6761,not available,0.8367,not available,0.9064,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.006 SR=0.9078"
TAIRA,amazon_book,2,494,not available,0.6678,not available,0.6678,not available,0.8303,not available,0.9034,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.004 SR=0.9049"
TAIRA,lastfm,0,427,not available,0.71,not available,0.71,not available,0.8647,not available,0.9188,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.1124 SR=0.9204"
TAIRA,lastfm,1,427,not available,0.7227,not available,0.7227,not available,0.8708,not available,0.9235,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.096 SR=0.9251"
TAIRA,lastfm,2,427,not available,0.7346,not available,0.7346,not available,0.8761,not available,0.9219,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.0913 SR=0.9227"
TAIRA,movielens,0,397,not available,0.4744,not available,0.4744,not available,0.5977,not available,0.6911,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.0327 fail_rate_high"
TAIRA,movielens,1,397,not available,0.4791,not available,0.4791,not available,0.6245,not available,0.7121,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.0302"
TAIRA,movielens,2,397,not available,0.4788,not available,0.4788,not available,0.6128,not available,0.704,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.0277"
TAIRA,yelp,0,492,not available,0.3043,not available,0.3043,not available,0.3748,not available,0.4318,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0 fail_rate=0.557"
TAIRA,yelp,1,492,not available,0.2941,not available,0.2941,not available,0.369,not available,0.4253,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.0081 fail_rate=0.563"
TAIRA,yelp,2,492,not available,0.2883,not available,0.2883,not available,0.3544,not available,0.4034,0,1.0,not available,not available,not available,not available,not available,not available,not available,"direct_HR@10=0.002 fail_rate=0.579"
