method,dataset,seed,SR,HR@10,MRR@10,NDCG@10,HR@10_succ,NDCG@10_succ,fail_rate,n_queries,n_success,direct_HR@10,direct_MRR@10,direct_NDCG@10,main_SR@5,main_SR@10,main_SR@15,main_AvgT,main_hDCG,interrec_id_HR@10,interrec_id_MRR@10,interrec_id_NDCG@10
TAIRA,amazon_music,0,0.9275,0.4805,0.9082,0.7591,0.509,0.8037,0.0725,69,64,,,,,,,,,,,
TAIRA,amazon_music,1,0.9275,0.4802,0.8865,0.7338,0.5115,0.7836,0.0725,69,64,,,,,,,,,,,
TAIRA,amazon_music,2,0.9275,0.4696,0.8792,0.7382,0.5063,0.7958,0.0725,69,64,,,,,,,,,,,
TAIRA,lastfm,0,0.94,0.506,0.9487,0.7466,0.5345,0.7879,0.06,500,470,0.082,0.0262,0.025,0.506,0.506,0.506,1.0,0.7466,0.082,0.0262,0.025
TAIRA,lastfm,1,0.97,0.7206,0.97,0.8981,0.7429,0.9258,0.03,500,485,0.086,0.0214,0.0361,0.7206,0.7206,0.7206,1.0,0.8981,0.086,0.0214,0.0361
TAIRA,lastfm,2,0.966,0.7344,0.966,0.9001,0.7602,0.9317,0.034,500,483,0.098,0.0303,0.0453,0.7344,0.7344,0.7344,1.0,0.9001,0.098,0.0303,0.0453
TAIRA,movielens,0,0.806,0.5416,0.7888,0.6646,0.6719,0.8245,0.194,500,403,0.05,0.008,0.014,0.5416,0.5416,0.5416,1.0,0.6646,0.05,0.008,0.014
TAIRA,movielens,1,0.782,0.519,0.7606,0.6415,0.6637,0.8203,0.218,500,391,0.056,0.0099,0.0168,0.519,0.519,0.519,1.0,0.6415,0.056,0.0099,0.0168
TAIRA,movielens,2,0.768,0.5278,0.7533,0.6471,0.6873,0.8425,0.232,500,384,0.046,0.0085,0.0144,0.5278,0.5278,0.5278,1.0,0.6471,0.046,0.0085,0.0144
TAIRA,yelp,0,0.43,0.333,0.4263,0.3877,0.7744,0.9016,0.57,500,215,0.006,0.0002,0.0006,0.333,0.333,0.333,1.0,0.3877,0.006,0.0002,0.0006
TAIRA,yelp,1,0.436,0.3331,0.4269,0.3879,0.764,0.8897,0.564,500,218,0.01,0.0017,0.0023,0.3331,0.3331,0.3331,1.0,0.3879,0.01,0.0017,0.0023
TAIRA,yelp,2,0.428,0.3274,0.4212,0.3832,0.7623,0.8913,0.572,500,214,0.004,0.0,0.0,0.3274,0.3274,0.3274,1.0,0.3832,0.004,0.0,0.0
