method,dataset,seed,SR,HR@10,MRR@10,NDCG@10,HR@10_succ,NDCG@10_succ,fail_rate,n_queries,n_success,direct_HR@10,direct_MRR@10,direct_NDCG@10,main_SR@5,main_SR@10,main_SR@15,main_AvgT,main_hDCG,interrec_id_HR@10,interrec_id_MRR@10,interrec_id_NDCG@10
TAIRA,amazon_book,0,0.918,0.6778,0.9167,0.8428,0.7384,0.9181,0.082,500,459,0.008,0.0028,0.0039,0.6778,0.6778,0.6778,1.0,0.8428,0.008,0.0028,0.0039
TAIRA,amazon_book,1,0.9078,0.6761,0.9064,0.8367,0.7447,0.9216,0.0922,499,453,0.006,0.0007,0.0019,0.6761,0.6761,0.6761,1.0,0.8367,0.006,0.0007,0.0019
TAIRA,amazon_book,2,0.9049,0.6678,0.9034,0.8303,0.738,0.9177,0.0951,494,447,0.004,0.001,0.0017,0.6678,0.6678,0.6678,1.0,0.8303,0.004,0.001,0.0017
TAIRA,lastfm,0,0.9204,0.71,0.9188,0.8647,0.7714,0.9395,0.0796,427,393,0.1124,0.0277,0.0464,0.71,0.71,0.71,1.0,0.8647,0.1124,0.0277,0.0464
TAIRA,lastfm,1,0.9251,0.7227,0.9235,0.8708,0.7812,0.9414,0.0749,427,395,0.096,0.0383,0.0515,0.7227,0.7227,0.7227,1.0,0.8708,0.096,0.0383,0.0515
TAIRA,lastfm,2,0.9227,0.7346,0.9219,0.8761,0.7962,0.9494,0.0773,427,394,0.0913,0.0294,0.043,0.7346,0.7346,0.7346,1.0,0.8761,0.0913,0.0294,0.043
TAIRA,movielens,0,0.7028,0.4744,0.6911,0.5977,0.675,0.8505,0.2972,397,279,0.0327,0.0052,0.0097,0.4744,0.4744,0.4744,1.0,0.5977,0.0327,0.0052,0.0097
TAIRA,movielens,1,0.7355,0.4791,0.7121,0.6245,0.6514,0.849,0.2645,397,292,0.0302,0.0037,0.0069,0.4791,0.4791,0.4791,1.0,0.6245,0.0302,0.0037,0.0069
TAIRA,movielens,2,0.7229,0.4788,0.704,0.6128,0.6599,0.8444,0.2771,397,287,0.0277,0.0073,0.0109,0.4788,0.4788,0.4788,1.0,0.6128,0.0277,0.0073,0.0109
TAIRA,yelp,0,0.4431,0.3043,0.4318,0.3748,0.6789,0.8374,0.5569,492,218,0.0,0.0,0.0,0.3043,0.3043,0.3043,1.0,0.3748,0.0,0.0,0.0
TAIRA,yelp,1,0.437,0.2941,0.4253,0.369,0.6731,0.8444,0.563,492,215,0.0081,0.001,0.0013,0.2941,0.2941,0.2941,1.0,0.369,0.0081,0.001,0.0013
TAIRA,yelp,2,0.4207,0.2883,0.4034,0.3544,0.6852,0.8423,0.5793,492,207,0.002,0.0003,0.0007,0.2883,0.2883,0.2883,1.0,0.3544,0.002,0.0003,0.0007
